Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2CXjrph4GOOERwlmak9CyE,"Feel Your Soul","Under the Covers","David Marston;Brigitte Zozula;Frano",2017-11-28,340157,49,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"джаз-хаус","Wolf + Lamb Records",0.842,0.708,1,-8.61,0,0.0356,0.00362,0.719,0.071,0.781,127.012,4
spotify:track:3D1P3oPecqAQy2u33gAhsM,"Odessa","Swim","Caribou",2010-04-20,315585,47,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"idm","People Eating Fruit Records",0.681,0.915,1,-5.974,1,0.042,0.00334,0.0841,0.354,0.606,118.029,4
spotify:track:5RDu8OSYnM13dJLpg4u62W,"Blue Motorbike","Videoman (Original Motion Picture Soundtrack)","Moto Boy",2018-01-26,280508,22,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"шведский поп","Lakeshore Records",0.64,0.416,11,-12.383,1,0.0348,0.408,0.00136,0.103,0.306,124.934,4
spotify:track:743YozbiyTVIM7Tb2T1sNm,"Love Affair","L.A.B II","L.A.B.",2018-12-21,295000,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"новозеландский регги,регги","Loop Recordings Aot(ear)oa",0.935,0.492,2,-10.097,1,0.076,0.135,0.00131,0.12,0.683,109.001,4
spotify:track:2lvk6CUSHz4j8huQ25gH54,"Have You Seen Her","Please Hammer Don't Hurt 'Em","MC Hammer",1990-02-20,282800,47,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","EMI/EMI Records (USA)",0.775,0.378,6,-14.892,0,0.103,0.207,0.00000534,0.107,0.86,144.193,4
spotify:track:6KI1ZpZWYAJLvmVhCJz65G,"You Don't Own Me (feat. G-Eazy)","FMA","SAYGRACE;G-Eazy",2016-07-01,201489,73,true,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","RCA Records Label",0.332,0.635,7,-5.653,1,0.0898,0.159,0.00000279,0.0599,0.261,186.249,3
spotify:track:7q2gjO6wGpyzxkos7z3xSw,"Club Les Chrysanthèmes","Hôtel Costes 3 - Etage 3","Cosmos Sound",2000-10-31,244586,0,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Pschent Music",0.671,0.611,1,-7.65,1,0.0537,0.187,0.299,0.209,0.635,93.229,4
spotify:track:0kNqD4X949pQEmliGtUA05,"Sabbath Day","In The World","Escape Deep",2025-10-28,289440,47,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"дип-хаус","Escape Deep",0.857,0.472,9,-13.594,0,0.0539,0.345,0.0353,0.105,0.156,116.003,4
spotify:track:7l4jUnNo90XOzeDDsERAtF,"Happy Anniversary - V2","Fight All My Battles","Musiq Rimond AI ",2025-10-18,479960,22,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"дип-хаус","1min+ Records",0.745,0.607,10,-9.309,0,0.0333,0.0211,0.0145,0.113,0.298,114.988,4
spotify:track:7GNsHb2NXXEzwUaF0oSDxy,"Echoes In My Head","Echoes In My Head","Velour",2025-11-07,187759,31,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Velour Music",0.739,0.628,7,-12.233,0,0.0366,0.109,0.343,0.0878,0.488,124.048,4
spotify:track:0TAmMnrwSr9tO5TzYgPUsT,"POV Love","POV Love","Joss Delmar",2025-11-07,212504,38,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Tera Swarm Records",0.839,0.468,4,-11.961,0,0.0952,0.472,0.000102,0.069,0.739,115.036,4
spotify:track:6ODllWV0V2gSoy2Kh9lymI,"Open the Door","Rewind, Vol. 3","Elsa",2004-01-20,232253,28,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"ню-джаз","Ubiquity Records",0.694,0.514,10,-8.69,0,0.0419,0.718,0.0118,0.0676,0.374,122.936,4
spotify:track:19wvWMhNH6FdSSswFM1DYl,"Bajo El Cielo Azul - Original Mix","Paseo De Los Tristes EP","Hraach",2016-02-22,373469,33,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"organic house,трайбал-хаус,даунтемпо,дип-хаус","Ready Mix Records",0.816,0.529,4,-9.766,0,0.0535,0.00604,0.899,0.14,0.548,120.001,4
spotify:track:2dk5HQv2V6hEVeGGlPvCFA,"Sharpness","Making Time","Jamie Woon",2015-10-30,207133,50,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"","Polydor Records",0.849,0.583,6,-7.865,0,0.0565,0.259,0.167,0.102,0.666,98.011,4
spotify:track:4jc6JoElmLLxceXnRukGLn,"What's My Name (Extended Disco Mix)","Buddha-Bar Hotel Paris (by Ravin)","Kenneth Bager",2014-11-03,253520,29,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"электросвинг","George V Records",0.715,0.775,6,-7.573,0,0.039,0.000387,0.756,0.182,0.434,110.01,4
spotify:track:2LgX9NFXiI3YH5QmLo47Oj,"Confetti","Confetti","Marine Neuilly",2025-01-03,189267,40,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"французский хаус","LESIXTYNINE MUSIQUE",0.806,0.619,6,-9.895,0,0.0454,0.267,0.544,0.131,0.348,128.058,4
spotify:track:7tL0k7Rc8lTZUsj3zcSdFG,"Tin Man - Richard Dorfmeister, Stefan Obermaier Vocal Mix","Tin Man Remixes","Christian Prommer;Adriano Prestel;Richard Dorfmeister;Stefan Obermaier",2017-03-10,300528,31,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"трип-хоп,даунтемпо,organic house","Compost Records",0.667,0.762,7,-8.953,1,0.0453,0.0444,0.734,0.115,0.364,113.981,4
spotify:track:1AApwLtsKoipHk3OaZdFmB,"The way I move","Oddy","Fellini Félin",2024-10-04,260000,36,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"французский инди-поп","Délicieuse Records",0.802,0.381,5,-12.274,1,0.0497,0.341,0.411,0.0869,0.323,120.001,4
spotify:track:1i6VebT0XaAbLl0TP5FLGp,"Snow Tiger","God Between Us","Eli Nissan",2022-07-01,495901,29,false,31zmfya6neh4bmotd5fuwy7gfpom,2026-03-02T11:00:21Z,"organic house,прогрессивный хаус,мелодичный хаус","Lost & Found",0.807,0.911,0,-7.684,1,0.0402,0.0482,0.877,0.0667,0.516,121.991,4
